hour,technology,value
1,WindOnshore,0.373125878
2,WindOnshore,0.286887754
3,WindOnshore,0.738680964
4,WindOnshore,0.903366478
5,WindOnshore,0.908692297
6,WindOnshore,0.339000724
7,WindOnshore,0.054324503
8,WindOnshore,0.034200235
9,WindOnshore,0.389877142
10,WindOnshore,0.442083387
11,WindOnshore,0.422362716
12,WindOnshore,0.137058141
13,WindOnshore,0.193307448
14,WindOnshore,0.203394819
15,WindOnshore,0.189564037
16,WindOnshore,0.159038016
17,WindOnshore,0.157167775
18,WindOnshore,0.112657648
19,WindOnshore,0.053598886
20,WindOnshore,0.224235218
21,WindOnshore,0.216760418
22,WindOnshore,0.215348399
23,WindOnshore,0.02578778
24,WindOnshore,0.047568954
25,WindOnshore,0.057721855
26,WindOnshore,0.073503466
27,WindOnshore,0.022552782
28,WindOnshore,0.085466216
29,WindOnshore,0.508915197
30,WindOnshore,0.9765
31,WindOnshore,0.859313458
32,WindOnshore,0.33237501
33,WindOnshore,0.203394819
34,WindOnshore,0.326408736
35,WindOnshore,0.437019758
36,WindOnshore,0.298573232
37,WindOnshore,0.154654042
38,WindOnshore,0.079828141
39,WindOnshore,0.096226021
40,WindOnshore,0.108053554
41,WindOnshore,0.169578338
42,WindOnshore,0.136052397
43,WindOnshore,0.171174059
44,WindOnshore,0.110865753
45,WindOnshore,0.07321759
46,WindOnshore,0.02418148
47,WindOnshore,0.009814199
48,WindOnshore,0.029982723
49,WindOnshore,0.196931313
50,WindOnshore,0.549997256
51,WindOnshore,0.50174899
52,WindOnshore,0.318392361
53,WindOnshore,0.037332991
54,WindOnshore,0.02970141
55,WindOnshore,0.015957968
56,WindOnshore,0.052711877
57,WindOnshore,0.109516762
58,WindOnshore,0.086545967
59,WindOnshore,0.061411158
60,WindOnshore,0.098108539
61,WindOnshore,0.194865001
62,WindOnshore,0.343224501
63,WindOnshore,0.227853325
64,WindOnshore,0.165649677
65,WindOnshore,0.074757554
66,WindOnshore,0.110746555
67,WindOnshore,0.083723725
68,WindOnshore,0.115941632
69,WindOnshore,0.203487535
70,WindOnshore,0.190201845
71,WindOnshore,0.108329991
72,WindOnshore,0.005897587
73,WindOnshore,0.008965551
74,WindOnshore,0.046646162
75,WindOnshore,0.107698401
76,WindOnshore,0.103889737
77,WindOnshore,0.153573714
78,WindOnshore,0.157298075
79,WindOnshore,0.149829217
80,WindOnshore,0.155000153
81,WindOnshore,0.166266121
82,WindOnshore,0.228569147
83,WindOnshore,0.208603303
84,WindOnshore,0.210985993
85,WindOnshore,0.3477266
86,WindOnshore,0.280335161
87,WindOnshore,0.22828275
88,WindOnshore,0.082358512
89,WindOnshore,0.111342873
90,WindOnshore,0.094810754
91,WindOnshore,0.089016265
92,WindOnshore,0.045759761
93,WindOnshore,0.079536088
94,WindOnshore,0.091958588
95,WindOnshore,0.064882243
96,WindOnshore,0.008314681
97,WindOnshore,0.026356785
98,WindOnshore,0.046424139
99,WindOnshore,0.043594891
100,WindOnshore,0.006311527
101,WindOnshore,0.0029
102,WindOnshore,0.036112464
103,WindOnshore,0.258640988
104,WindOnshore,0.496869654
105,WindOnshore,0.675008509
106,WindOnshore,0.763770768
107,WindOnshore,0.58925722
108,WindOnshore,0.399680572
109,WindOnshore,0.267097024
110,WindOnshore,0.299441577
111,WindOnshore,0.438762246
112,WindOnshore,0.274770542
113,WindOnshore,0.336420158
114,WindOnshore,0.165297684
115,WindOnshore,0.244410175
116,WindOnshore,0.17424306
117,WindOnshore,0.506348755
118,WindOnshore,0.712341764
119,WindOnshore,0.736951751
120,WindOnshore,0.613690617
4,SolarPV,0.091617708
5,SolarPV,0.12008196
6,SolarPV,0.17130299
7,SolarPV,0.00865971
25,SolarPV,0.188380795
26,SolarPV,0.303984891
27,SolarPV,0.478771914
28,SolarPV,0.504005408
29,SolarPV,0.546174567
30,SolarPV,0.468937239
31,SolarPV,0.421215474
32,SolarPV,0.347634294
33,SolarPV,0.237604133
34,SolarPV,0.044560772
47,SolarPV,0.097022669
48,SolarPV,0.298995025
49,SolarPV,0.457243282
50,SolarPV,0.541008018
51,SolarPV,0.650910648
52,SolarPV,0.65988353
53,SolarPV,0.709
54,SolarPV,0.612979442
55,SolarPV,0.548323246
56,SolarPV,0.41428641
57,SolarPV,0.280878372
58,SolarPV,0.131115388
71,SolarPV,0.090412143
72,SolarPV,0.246482051
73,SolarPV,0.395195144
74,SolarPV,0.486778384
75,SolarPV,0.459047452
76,SolarPV,0.49209636
77,SolarPV,0.530199695
78,SolarPV,0.630791778
79,SolarPV,0.589552577
80,SolarPV,0.382024895
81,SolarPV,0.18070123
97,SolarPV,0.015320146
98,SolarPV,0.185644214
99,SolarPV,0.275802132
100,SolarPV,0.35870509
101,SolarPV,0.374923624
102,SolarPV,0.330626746
103,SolarPV,0.15507736
