Year,Region,Technology,Value,Type
2020,DE,SolarPV,38.0,NewCapacity
2030,DE,SolarPV,53.0,NewCapacity
2040,DE,SolarPV,84.5,NewCapacity
2050,DE,SolarPV,262.5,NewCapacity
2020,FR,SolarPV,30.0,NewCapacity
2030,FR,SolarPV,74.0,NewCapacity
2040,FR,SolarPV,104.5,NewCapacity
2050,FR,SolarPV,421.5,NewCapacity
2020,NO,SolarPV,2.0,NewCapacity
2030,NO,SolarPV,9.75,NewCapacity
2040,NO,SolarPV,16.625,NewCapacity
2050,NO,SolarPV,40.625,NewCapacity
2020,DK,SolarPV,10.0,NewCapacity
2030,DK,SolarPV,16.0,NewCapacity
2040,DK,SolarPV,26.5,NewCapacity
2050,DK,SolarPV,77.5,NewCapacity
2020,UK,SolarPV,18.0,NewCapacity
2030,UK,SolarPV,33.0,NewCapacity
2040,UK,SolarPV,64.0,NewCapacity
2050,UK,SolarPV,0.0,NewCapacity
2020,DE,CoalMine,-0.0,NewCapacity
2030,DE,CoalMine,0.0,NewCapacity
2040,DE,CoalMine,0.0,NewCapacity
2050,DE,CoalMine,0.0,NewCapacity
2020,FR,CoalMine,-0.0,NewCapacity
2030,FR,CoalMine,0.0,NewCapacity
2040,FR,CoalMine,0.0,NewCapacity
2050,FR,CoalMine,0.0,NewCapacity
2020,NO,CoalMine,-0.0,NewCapacity
2030,NO,CoalMine,0.0,NewCapacity
2040,NO,CoalMine,0.0,NewCapacity
2050,NO,CoalMine,0.0,NewCapacity
2020,DK,CoalMine,-0.0,NewCapacity
2030,DK,CoalMine,0.0,NewCapacity
2040,DK,CoalMine,0.0,NewCapacity
2050,DK,CoalMine,0.0,NewCapacity
2020,UK,CoalMine,25.51084185975992,NewCapacity
2030,UK,CoalMine,0.0,NewCapacity
2040,UK,CoalMine,0.0,NewCapacity
2050,UK,CoalMine,973.4891581402401,NewCapacity
2020,DE,GasExtractor,15.11339067024872,NewCapacity
2030,DE,GasExtractor,28.815562599232095,NewCapacity
2040,DE,GasExtractor,104.13495289977647,NewCapacity
2050,DE,GasExtractor,850.9360938307427,NewCapacity
2020,FR,GasExtractor,-0.0,NewCapacity
2030,FR,GasExtractor,0.0,NewCapacity
2040,FR,GasExtractor,0.0,NewCapacity
2050,FR,GasExtractor,0.0,NewCapacity
2020,NO,GasExtractor,0.0,NewCapacity
2030,NO,GasExtractor,0.0,NewCapacity
2040,NO,GasExtractor,11.209115231146505,NewCapacity
2050,NO,GasExtractor,987.7908847688535,NewCapacity
2020,DK,GasExtractor,-0.0,NewCapacity
2030,DK,GasExtractor,0.0,NewCapacity
2040,DK,GasExtractor,0.0,NewCapacity
2050,DK,GasExtractor,0.0,NewCapacity
2020,UK,GasExtractor,-0.0,NewCapacity
2030,UK,GasExtractor,0.0,NewCapacity
2040,UK,GasExtractor,0.0,NewCapacity
2050,UK,GasExtractor,0.0,NewCapacity
2020,DE,CoalPowerPlant,-0.0,NewCapacity
2030,DE,CoalPowerPlant,0.0,NewCapacity
2040,DE,CoalPowerPlant,0.0,NewCapacity
2050,DE,CoalPowerPlant,999.0,NewCapacity
2020,FR,CoalPowerPlant,5.46741983742,NewCapacity
2030,FR,CoalPowerPlant,0.0,NewCapacity
2040,FR,CoalPowerPlant,0.0,NewCapacity
2050,FR,CoalPowerPlant,993.53258016258,NewCapacity
2020,NO,CoalPowerPlant,-0.0,NewCapacity
2030,NO,CoalPowerPlant,0.0,NewCapacity
2040,NO,CoalPowerPlant,0.0,NewCapacity
2050,NO,CoalPowerPlant,999.0,NewCapacity
2020,DK,CoalPowerPlant,-0.0,NewCapacity
2030,DK,CoalPowerPlant,0.0,NewCapacity
2040,DK,CoalPowerPlant,0.0,NewCapacity
2050,DK,CoalPowerPlant,999.0,NewCapacity
2020,UK,CoalPowerPlant,-0.0,NewCapacity
2030,UK,CoalPowerPlant,0.0,NewCapacity
2040,UK,CoalPowerPlant,0.0,NewCapacity
2050,UK,CoalPowerPlant,999.0,NewCapacity
2020,DE,GasPowerPlant,-0.0,NewCapacity
2030,DE,GasPowerPlant,0.0,NewCapacity
2040,DE,GasPowerPlant,0.0,NewCapacity
2050,DE,GasPowerPlant,999.0,NewCapacity
2020,FR,GasPowerPlant,0.6330964905800021,NewCapacity
2030,FR,GasPowerPlant,0.0,NewCapacity
2040,FR,GasPowerPlant,0.0,NewCapacity
2050,FR,GasPowerPlant,998.36690350942,NewCapacity
2020,NO,GasPowerPlant,0.0,NewCapacity
2030,NO,GasPowerPlant,0.0,NewCapacity
2040,NO,GasPowerPlant,0.0,NewCapacity
2050,NO,GasPowerPlant,999.0,NewCapacity
2020,DK,GasPowerPlant,-0.0,NewCapacity
2030,DK,GasPowerPlant,0.0,NewCapacity
2040,DK,GasPowerPlant,0.0,NewCapacity
2050,DK,GasPowerPlant,999.0,NewCapacity
2020,UK,GasPowerPlant,0.0,NewCapacity
2030,UK,GasPowerPlant,0.0,NewCapacity
2040,UK,GasPowerPlant,0.0,NewCapacity
2050,UK,GasPowerPlant,999.0,NewCapacity
2020,DE,CoalCHPPlant,-0.0,NewCapacity
2030,DE,CoalCHPPlant,0.0,NewCapacity
2040,DE,CoalCHPPlant,0.0,NewCapacity
2050,DE,CoalCHPPlant,999.0,NewCapacity
2020,FR,CoalCHPPlant,15.659999999999997,NewCapacity
2030,FR,CoalCHPPlant,3.9690000000000083,NewCapacity
2040,FR,CoalCHPPlant,0.0,NewCapacity
2050,FR,CoalCHPPlant,979.371,NewCapacity
2020,NO,CoalCHPPlant,-0.0,NewCapacity
2030,NO,CoalCHPPlant,0.0,NewCapacity
2040,NO,CoalCHPPlant,0.0,NewCapacity
2050,NO,CoalCHPPlant,999.0,NewCapacity
2020,DK,CoalCHPPlant,0.0,NewCapacity
2030,DK,CoalCHPPlant,0.0,NewCapacity
2040,DK,CoalCHPPlant,0.0,NewCapacity
2050,DK,CoalCHPPlant,999.0,NewCapacity
2020,UK,CoalCHPPlant,0.0,NewCapacity
2030,UK,CoalCHPPlant,19.123750000000015,NewCapacity
2040,UK,CoalCHPPlant,0.0,NewCapacity
2050,UK,CoalCHPPlant,979.87625,NewCapacity
2020,DE,GasCHPPlant,0.0,NewCapacity
2030,DE,GasCHPPlant,48.63900000000001,NewCapacity
2040,DE,GasCHPPlant,122.43195,NewCapacity
2050,DE,GasCHPPlant,827.92905,NewCapacity
2020,FR,GasCHPPlant,0.0,NewCapacity
2030,FR,GasCHPPlant,8.642500000000002,NewCapacity
2040,FR,GasCHPPlant,19.107499999999998,NewCapacity
2050,FR,GasCHPPlant,971.25,NewCapacity
2020,NO,GasCHPPlant,0.0,NewCapacity
2030,NO,GasCHPPlant,2.1020000000000003,NewCapacity
2040,NO,GasCHPPlant,7.3050999999999995,NewCapacity
2050,NO,GasCHPPlant,989.5929,NewCapacity
2020,DK,GasCHPPlant,1.360666666666667,NewCapacity
2030,DK,GasCHPPlant,14.623333333333335,NewCapacity
2040,DK,GasCHPPlant,15.799199999999999,NewCapacity
2050,DK,GasCHPPlant,967.2167999999999,NewCapacity
2020,UK,GasCHPPlant,0.0,NewCapacity
2030,UK,GasCHPPlant,11.3983773378,NewCapacity
2040,UK,GasCHPPlant,30.85785004199797,NewCapacity
2050,UK,GasCHPPlant,956.7437726202021,NewCapacity
2020,DE,Power2Gas,3.4999229302540904,NewCapacity
2030,DE,Power2Gas,6.25007706974591,NewCapacity
2040,DE,Power2Gas,28.250000000000004,NewCapacity
2050,DE,Power2Gas,962.4749229302541,NewCapacity
2020,FR,Power2Gas,0.9895705380000024,NewCapacity
2030,FR,Power2Gas,8.427096128666662,NewCapacity
2040,FR,Power2Gas,22.53933983813551,NewCapacity
2050,FR,Power2Gas,966.6835640331977,NewCapacity
2020,NO,Power2Gas,0.0,NewCapacity
2030,NO,Power2Gas,3.8341631187911265,NewCapacity
2040,NO,Power2Gas,2.2387737592088754,NewCapacity
2050,NO,Power2Gas,992.3270631219999,NewCapacity
2020,DK,Power2Gas,0.0,NewCapacity
2030,DK,Power2Gas,5.958333333333334,NewCapacity
2040,DK,Power2Gas,11.997218147166665,NewCapacity
2050,DK,Power2Gas,980.3694485195,NewCapacity
2020,UK,Power2Gas,0.0,NewCapacity
2030,UK,Power2Gas,7.583333333333336,NewCapacity
