Year,Region,Technology,Value
2020,DE,SolarPV,-0.0
2030,DE,SolarPV,-0.0
2040,DE,SolarPV,-0.0
2050,DE,SolarPV,-0.0
2020,FR,SolarPV,-0.0
2030,FR,SolarPV,-0.0
2040,FR,SolarPV,-0.0
2050,FR,SolarPV,-0.0
2020,NO,SolarPV,-0.0
2030,NO,SolarPV,-0.0
2040,NO,SolarPV,-0.0
2050,NO,SolarPV,-0.0
2020,DK,SolarPV,-0.0
2030,DK,SolarPV,-0.0
2040,DK,SolarPV,-0.0
2050,DK,SolarPV,-0.0
2020,UK,SolarPV,-0.0
2030,UK,SolarPV,-0.0
2040,UK,SolarPV,-0.0
2050,UK,SolarPV,-0.0
2020,DE,CoalMine,-0.0
2030,DE,CoalMine,-0.0
2040,DE,CoalMine,-0.0
2050,DE,CoalMine,-0.0
2020,FR,CoalMine,-0.0
2030,FR,CoalMine,-0.0
2040,FR,CoalMine,-0.0
2050,FR,CoalMine,-0.0
2020,NO,CoalMine,-0.0
2030,NO,CoalMine,-0.0
2040,NO,CoalMine,-0.0
2050,NO,CoalMine,-0.0
2020,DK,CoalMine,-0.0
2030,DK,CoalMine,-0.0
2040,DK,CoalMine,-0.0
2050,DK,CoalMine,-0.0
2020,UK,CoalMine,-0.0
2030,UK,CoalMine,-0.0
2040,UK,CoalMine,-0.0
2050,UK,CoalMine,-0.0
2020,DE,GasExtractor,-0.0
2030,DE,GasExtractor,-0.0
2040,DE,GasExtractor,-0.0
2050,DE,GasExtractor,-0.0
2020,FR,GasExtractor,-0.0
2030,FR,GasExtractor,-0.0
2040,FR,GasExtractor,-0.0
2050,FR,GasExtractor,-0.0
2020,NO,GasExtractor,-0.0
2030,NO,GasExtractor,-0.0
2040,NO,GasExtractor,-0.0
2050,NO,GasExtractor,-0.0
2020,DK,GasExtractor,-0.0
2030,DK,GasExtractor,-0.0
2040,DK,GasExtractor,-0.0
2050,DK,GasExtractor,-0.0
2020,UK,GasExtractor,-0.0
2030,UK,GasExtractor,-0.0
